221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-4.027343E-03,+1.955898E+00,+2.702600E+01,+1.530300E+01,+1.355000E+01,+2.910500E+01,+1.903400E+01,+1.899100E+01
-7.966981E-03,+1.943580E+00,+2.703200E+01,+1.530200E+01,+1.355400E+01,+2.910800E+01,+1.903300E+01,+1.899300E+01
-5.440368E-03,+1.944985E+00,+2.702500E+01,+1.530200E+01,+1.354900E+01,+2.910500E+01,+1.903100E+01,+1.898800E+01
-4.977167E-03,+1.938896E+00,+2.702100E+01,+1.530100E+01,+1.354900E+01,+2.910700E+01,+1.903000E+01,+1.898800E+01
-5.908272E-03,+1.948123E+00,+2.701900E+01,+1.529600E+01,+1.354500E+01,+2.910400E+01,+1.903000E+01,+1.898500E+01
-6.993773E-03,+1.947327E+00,+2.702000E+01,+1.529400E+01,+1.354000E+01,+2.910200E+01,+1.902600E+01,+1.898600E+01
-7.639474E-03,+1.944798E+00,+2.702400E+01,+1.529400E+01,+1.354000E+01,+2.910000E+01,+1.902400E+01,+1.898500E+01
-8.673503E-03,+1.942643E+00,+2.702600E+01,+1.529400E+01,+1.353300E+01,+2.910400E+01,+1.902200E+01,+1.898600E+01
-5.192401E-03,+1.943205E+00,+2.701700E+01,+1.528800E+01,+1.353400E+01,+2.909400E+01,+1.902000E+01,+1.898600E+01
-7.007807E-03,+1.951542E+00,+2.701800E+01,+1.528900E+01,+1.353600E+01,+2.909300E+01,+1.901800E+01,+1.899000E+01
-3.503302E-03,+1.950371E+00,+2.702200E+01,+1.529100E+01,+1.353200E+01,+2.908600E+01,+1.901800E+01,+1.899400E+01
-5.253222E-03,+1.942783E+00,+2.702000E+01,+1.528900E+01,+1.353600E+01,+2.908100E+01,+1.901700E+01,+1.899200E+01
-7.662858E-03,+1.947233E+00,+2.702600E+01,+1.528800E+01,+1.353600E+01,+2.907800E+01,+1.901400E+01,+1.899700E+01
-7.597353E-03,+1.937912E+00,+2.701700E+01,+1.528700E+01,+1.353600E+01,+2.907300E+01,+1.901200E+01,+1.899700E+01
-5.585432E-03,+1.949107E+00,+2.702000E+01,+1.528400E+01,+1.354000E+01,+2.906900E+01,+1.900900E+01,+1.900400E+01
-6.324687E-03,+1.957819E+00,+2.701700E+01,+1.528300E+01,+1.354000E+01,+2.906700E+01,+1.900600E+01,+1.900500E+01
-5.154964E-03,+1.941378E+00,+2.702300E+01,+1.528300E+01,+1.354600E+01,+2.906500E+01,+1.900800E+01,+1.900900E+01
-1.048424E-02,+1.938989E+00,+2.702200E+01,+1.528500E+01,+1.354800E+01,+2.906100E+01,+1.901100E+01,+1.901200E+01
-5.398266E-03,+1.943205E+00,+2.701800E+01,+1.528200E+01,+1.354900E+01,+2.905600E+01,+1.900900E+01,+1.901500E+01
-4.537350E-03,+1.942409E+00,+2.701700E+01,+1.528800E+01,+1.355400E+01,+2.905800E+01,+1.900800E+01,+1.902000E+01
-5.328077E-03,+1.942175E+00,+2.701600E+01,+1.528800E+01,+1.355700E+01,+2.905900E+01,+1.901200E+01,+1.902200E+01
