221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-1.779271E-02,+3.198482E+00,+2.669500E+01,+1.637400E+01,+1.457700E+01,+3.529700E+01,+2.398400E+01,+1.972300E+01
-2.052051E-02,+3.194875E+00,+2.669200E+01,+1.637200E+01,+1.457800E+01,+3.529800E+01,+2.398100E+01,+1.971800E+01
-1.718445E-02,+3.191784E+00,+2.668100E+01,+1.636400E+01,+1.457400E+01,+3.529500E+01,+2.398100E+01,+1.971700E+01
-1.511169E-02,+3.187802E+00,+2.668300E+01,+1.636400E+01,+1.457200E+01,+3.529300E+01,+2.398100E+01,+1.971700E+01
-1.958940E-02,+3.189676E+00,+2.668100E+01,+1.636000E+01,+1.457200E+01,+3.528900E+01,+2.398100E+01,+1.971800E+01
-1.580884E-02,+3.179512E+00,+2.668000E+01,+1.635400E+01,+1.457400E+01,+3.529100E+01,+2.398000E+01,+1.971400E+01
-1.617849E-02,+3.187521E+00,+2.667500E+01,+1.635000E+01,+1.457000E+01,+3.529300E+01,+2.398300E+01,+1.971300E+01
-1.973913E-02,+3.195297E+00,+2.668100E+01,+1.634800E+01,+1.456800E+01,+3.529000E+01,+2.398200E+01,+1.971400E+01
-2.039886E-02,+3.191034E+00,+2.667900E+01,+1.634100E+01,+1.456100E+01,+3.529000E+01,+2.398700E+01,+1.971200E+01
-1.894840E-02,+3.174734E+00,+2.667000E+01,+1.633700E+01,+1.456000E+01,+3.528900E+01,+2.398600E+01,+1.970600E+01
